#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Maghemite: Maghemite
#------------------------------------------
# energy, Maghemite
 7222.96094,  1.00140866
 7224.68652,  1.00311560
 7226.43213,  1.00497113
 7228.19678,  1.00554242
 7229.98145,  1.00561008
 7231.78613,  1.00445074
 7233.60986,  1.00228114
 7235.45361,  0.99970407
 7237.31738,  0.99654539
 7239.20020,  0.99280037
 7241.10303,  0.98895378
 7243.02539,  0.98392196
 7244.96729,  0.98127245
 7246.92920,  0.97831475
 7248.91064,  0.97739082
 7250.91162,  0.97813580
 7252.93262,  0.98079101
 7254.97266,  0.98499266
 7257.03271,  0.98548974
 7259.11279,  0.99318280
 7261.21191,  0.99837788
 7263.33105,  1.00404964
 7265.47021,  1.00895824
 7267.62842,  1.01248760
 7269.80664,  1.01497227
 7272.00439,  1.01715395
 7274.22168,  1.01879774
 7276.45898,  1.01944371
 7278.71582,  1.01976843
 7280.99219,  1.01947166
 7283.28857,  1.01830711
 7285.60400,  1.01633033
 7287.93945,  1.01418473
 7290.29492,  1.01127030
 7292.66943,  1.00801173
 7295.06396,  1.00471803
 7297.47803,  1.00171644
 7299.91211,  0.99933750
 7302.36572,  0.99751794
 7304.83887,  0.99621646
 7307.33154,  0.99519320
 7309.84424,  0.99493560
 7312.37646,  0.99498127
 7314.92822,  0.99531517
 7317.49951,  0.99678786
 7320.09082,  0.99864279
 7322.70166,  1.00093455
 7325.33252,  1.00333901
 7327.98242,  1.00538975
 7330.65234,  1.00630789
 7333.34180,  1.00671418
 7336.05127,  1.00640888
 7338.78027,  1.00509153
 7341.52881,  1.00375786
 7344.29688,  1.00250315
 7347.08496,  1.00067831
 7349.89258,  0.99877390
 7352.71973,  0.99709030
 7355.56641,  0.99563720
 7358.43311,  0.99522109
 7361.31934,  0.99468494
 7364.22559,  0.99499415
 7367.15088,  0.99560066
 7370.09619,  0.99682191
 7373.06104,  0.99811803
 7376.04590,  0.99904925
 7379.05029,  0.99956787
 7382.07422,  1.00001817
 7385.11768,  1.00033386
 7388.18115,  1.00096063
 7391.26416,  1.00207190
 7394.36670,  1.00316211
 7397.48877,  1.00435409
 7400.63086,  1.00485508
 7403.79248,  1.00509618
 7406.97363,  1.00481015
 7410.17480,  1.00410235
 7413.39551,  1.00327396
 7416.63574,  1.00220611
 7419.89600,  1.00097626
 7423.17529,  1.00012069
 7426.47510,  0.99905308
 7429.79395,  0.99833394
 7433.13232,  0.99746986
 7436.49072,  0.99705780
 7439.86914,  0.99708793
 7443.26660,  0.99728239
 7446.68408,  0.99785424
 7450.12109,  0.99821670
 7453.57764,  0.99898100
 7457.05420,  0.99948497
 7460.55029,  0.99963326
 7464.06592,  0.99940592
 7467.60156,  0.99910118
 7471.15625,  0.99874204
 7474.73096,  0.99837244
 7478.32568,  0.99813209
 7481.93945,  0.99825840
 7485.57324,  0.99827759
 7489.22656,  0.99821043
 7492.89990,  0.99826811
 7496.59277,  0.99848387
 7500.30518,  0.99856708
 7504.03711,  0.99868127
 7507.78906,  0.99882298
 7511.56055,  0.99870521
 7515.35156,  0.99859724
 7519.16211,  0.99868213
 7522.99268,  0.99893552
