#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Siderite-s: Siderite-s
#------------------------------------------
# energy, Siderite-s
 7951.13281,  1.00007092
 7956.81934,  0.99986958
 7962.52539,  1.00027820
 7968.25098,  1.00042104
 7973.99658,  1.00024158
 7979.76172,  1.00022555
 7985.54639,  1.00024882
 7991.35059,  1.00020966
 7997.17480,  1.00026518
 8003.01807,  1.00016636
 8008.88135,  1.00020252
 8014.76416,  1.00020546
 8020.66650,  0.99988912
 8026.58838,  1.00000842
 8032.53027,  0.99973985
 8038.49170,  0.99964737
 8044.47217,  0.99976928
 8050.47314,  0.99968934
 8056.49316,  0.99947243
 8062.53271,  0.99946689
 8068.59229,  0.99925205
 8074.67139,  0.99943876
 8080.77002,  0.99911919
 8086.88818,  0.99909661
 8093.02588,  0.99899602
 8099.18359,  0.99857242
 8105.36084,  0.99877234
