#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Mackinawite: Mackinawite
#------------------------------------------
# energy, Mackinawite
 7884.42432,  1.37707609
 7889.87549,  1.38038547
 7895.34619,  1.38446219
 7900.83643,  1.38702365
 7906.34668,  1.39012234
 7911.87598,  1.39365342
 7917.42529,  1.39690588
 7922.99414,  1.39991529
 7928.58252,  1.40339000
 7934.19043,  1.40569793
 7939.81836,  1.40798586
 7945.46582,  1.41014786
 7951.13281,  1.41088016
 7956.81934,  1.41254281
 7962.52539,  1.41530750
 7968.25098,  1.41714501
 7973.99658,  1.41986421
 7979.76172,  1.41975186
 7985.54639,  1.42006431
 7991.35059,  1.42046357
 7997.17480,  1.42071718
 8003.01807,  1.42045079
 8008.88135,  1.42118872
 8014.76416,  1.42160396
 8020.66650,  1.42355719
 8026.58838,  1.42622417
 8032.53027,  1.42401301
 8038.49170,  1.42391042
 8044.47217,  1.42508157
 8050.47314,  1.42682217
 8056.49316,  1.42679124
 8062.53271, -0.06832605
 8068.59229, -0.05365277
 8074.67139, -0.03909658
 8080.77002, -0.02485233
 8086.88818, -0.01071819
 8093.02588,  0.00312036
 8099.18359,  0.01698215
 8105.36084,  0.03029818
